Crash Year,Crash Month,Crash Day,Time of Day,Day of Week,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions,Speed Limit at Crash Site,Imputed_Speed Limit at Crash Site,Worst Injury In Crash,Person Age,Imputed_Person Age,Person Gender,ADI Impute Column,Column 2
2018,2,1,9:00 AM - 10:00 AM,4,Wayne County: Detroit,0,1,2,1,35,35,2,,"42,755034665",1,"[2018 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 35 2 42.4049187844424 0.424671655969869
	 0.5791626952778]","[42,7550346649059]"
2018,2,1,7:00 PM - 8:00 PM,4,Wayne County: Detroit,0,1,4,1,30,30,3,44,44,0,[2018 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 30 3 44 1 0],[44]
2018,2,1,11:00 AM - 12:00 noon,4,Wayne County: Detroit,1,1,2,2,30,30,1,,"42,755034665",1,"[2018 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 30 1 42.4184387776637 0.439171079405895
	 0.565902974573885]","[42,7550346649059]"
2018,2,1,6:00 PM - 7:00 PM,4,Wayne County: Detroit,1,1,4,1,30,30,2,,"42,755034665",1,"[2018 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 30 2 41.0971760865299 0.283953359291856
	 0.715955608237934]","[42,7550346649059]"
2018,3,1,2:00 PM - 3:00 PM,4,Wayne County: Detroit,0,1,2,7,25,25,0,,"42,755034665",1,"[2018 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 25 0 42.0444085168866 0.423044227297151
	 0.583124365398629]","[42,7550346649059]"
2018,4,1,1:00 PM - 2:00 PM,7,Wayne County: Detroit,0,1,2,1,25,25,1,27,27,0,[2018 4 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 1 27 1 0],[27]
2018,5,1,8:00 AM - 9:00 AM,2,Wayne County: Southgate,1,0,2,1,45,45,1,22,22,1,[2018 5 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 45 1 22 0 1],[22]
2018,5,1,3:00 PM - 4:00 PM,2,Wayne County: Detroit,1,0,2,1,35,35,2,18,18,1,[2018 5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 35 2 18 0 1],[18]
2018,5,1,3:00 PM - 4:00 PM,2,Wayne County: Detroit,1,0,2,1,30,30,2,20,20,0,[2018 5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 30 2 20 1 0],[20]
2018,6,1,8:00 PM - 9:00 PM,5,Wayne County: Detroit,0,0,2,1,25,25,2,47,47,0,[2018 6 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 2 47 1 0],[47]
2018,6,1,2:00 PM - 3:00 PM,5,Wayne County: Detroit,1,0,2,1,30,30,1,18,18,1,[2018 6 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 30 1 18 0 1],[18]
2018,6,1,9:00 AM - 10:00 AM,5,Wayne County: Detroit,1,0,2,1,25,25,1,50,50,0,[2018 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 1 50 1 0],[50]
2018,7,1,10:00 PM - 11:00 PM,7,Wayne County: Detroit,0,0,4,1,25,25,1,51,51,1,[2018 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 25 1 51 0 1],[51]
2018,7,1,10:00 PM - 11:00 PM,7,Wayne County: Detroit,0,0,4,1,25,25,1,,"42,755034665",1,"[2018 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 25 1 40.8288923318528 0
	 1]","[42,7550346649059]"
2018,8,1,6:00 PM - 7:00 PM,3,Wayne County: Belleville,1,0,2,1,25,25,1,36,36,1,[2018 8 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 1 36 0 1],[36]
